Week,Day,Exercise,Sets,Target Reps
1,1,Incline DB Press (15-30°),4,5–8
1,1,Ring Push-ups / Dips,4,6–8
1,1,Ring Fallout,3,8–12
1,1,Band ER / Face Pull,2,10–15
1,2,Front/Goblet Squat,4,6–8
1,2,Bulgarian Split Squat,3,6–8/side
1,2,Standing Calf Raise,3,10–15
1,2,Farmer Carry,3,20–40m
1,2,Forearm,2,10–15
1,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
1,3,DB Overhead Press,3,6–8
1,3,1-Arm DB Row,3,8–10
1,3,Alternating DB Curl,3,8–12
1,3,Face Pull,2,12–15
1,4,DB Romanian Deadlift,4,6–8
1,4,Incline DB Press (30-45°),3,8–10
1,4,1-arm overheard tricep extension,3,8–12
1,4,Seated Calf Raise,3,12–20
1,4,Side Plank,2,20–30 sec/side
2,1,Incline DB Press (15-30°),4,5–8
2,1,Ring Push-ups / Dips,4,6–8
2,1,Ring Fallout,3,8–12
2,1,Band ER / Face Pull,2,10–15
2,2,Front/Goblet Squat,4,6–8
2,2,Bulgarian Split Squat,3,6–8/side
2,2,Standing Calf Raise,3,10–15
2,2,Farmer Carry,3,20–40m
2,2,Forearm,2,10–15
2,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
2,3,DB Overhead Press,3,6–8
2,3,1-Arm DB Row,3,8–10
2,3,Alternating DB Curl,3,8–12
2,3,Face Pull,2,12–15
2,4,DB Romanian Deadlift,4,6–8
2,4,Incline DB Press (30-45°),3,8–10
2,4,1-arm overheard tricep extension,3,8–12
2,4,Seated Calf Raise,3,12–20
2,4,Side Plank,2,20–30 sec/side
3,1,Incline DB Press (15-30°),4,5–8
3,1,Ring Push-ups / Dips,4,6–8
3,1,Ring Fallout,3,8–12
3,1,Band ER / Face Pull,2,10–15
3,2,Front/Goblet Squat,4,6–8
3,2,Bulgarian Split Squat,3,6–8/side
3,2,Standing Calf Raise,3,10–15
3,2,Farmer Carry,3,20–40m
3,2,Forearm,2,10–15
3,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
3,3,DB Overhead Press,3,6–8
3,3,1-Arm DB Row,3,8–10
3,3,Alternating DB Curl,3,8–12
3,3,Face Pull,2,12–15
3,4,DB Romanian Deadlift,4,6–8
3,4,Incline DB Press (30-45°),3,8–10
3,4,1-arm overheard tricep extension,3,8–12
3,4,Seated Calf Raise,3,12–20
3,4,Side Plank,2,20–30 sec/side
4,1,Incline DB Press (15-30°),4,5–8
4,1,Ring Push-ups / Dips,4,6–8
4,1,Ring Fallout,3,8–12
4,1,Band ER / Face Pull,2,10–15
4,2,Front/Goblet Squat,4,6–8
4,2,Bulgarian Split Squat,3,6–8/side
4,2,Standing Calf Raise,3,10–15
4,2,Farmer Carry,3,20–40m
4,2,Forearm,2,10–15
4,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
4,3,DB Overhead Press,3,6–8
4,3,1-Arm DB Row,3,8–10
4,3,Alternating DB Curl,3,8–12
4,3,Face Pull,2,12–15
4,4,DB Romanian Deadlift,4,6–8
4,4,Incline DB Press (30-45°),3,8–10
4,4,1-arm overheard tricep extension,3,8–12
4,4,Seated Calf Raise,3,12–20
4,4,Side Plank,2,20–30 sec/side
5,1,Incline DB Press (15-30°),4,5–8
5,1,Ring Push-ups / Dips,4,6–8
5,1,Ring Fallout,3,8–12
5,1,Band ER / Face Pull,2,10–15
5,2,Front/Goblet Squat,4,6–8
5,2,Bulgarian Split Squat,3,6–8/side
5,2,Standing Calf Raise,3,10–15
5,2,Farmer Carry,3,20–40m
5,2,Forearm,2,10–15
5,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
5,3,DB Overhead Press,3,6–8
5,3,1-Arm DB Row,3,8–10
5,3,Alternating DB Curl,3,8–12
5,3,Face Pull,2,12–15
5,4,DB Romanian Deadlift,4,6–8
5,4,Incline DB Press (30-45°),3,8–10
5,4,1-arm overheard tricep extension,3,8–12
5,4,Seated Calf Raise,3,12–20
5,4,Side Plank,2,20–30 sec/side
6,1,Incline DB Press (15-30°),4,5–8
6,1,Ring Push-ups / Dips,4,6–8
6,1,Ring Fallout,3,8–12
6,1,Band ER / Face Pull,2,10–15
6,2,Front/Goblet Squat,4,6–8
6,2,Bulgarian Split Squat,3,6–8/side
6,2,Standing Calf Raise,3,10–15
6,2,Farmer Carry,3,20–40m
6,2,Forearm,2,10–15
6,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
6,3,DB Overhead Press,3,6–8
6,3,1-Arm DB Row,3,8–10
6,3,Alternating DB Curl,3,8–12
6,3,Face Pull,2,12–15
6,4,DB Romanian Deadlift,4,6–8
6,4,Incline DB Press (30-45°),3,8–10
6,4,1-arm overheard tricep extension,3,8–12
6,4,Seated Calf Raise,3,12–20
6,4,Side Plank,2,20–30 sec/side
7,1,Incline DB Press (15-30°),4,5–8
7,1,Ring Push-ups / Dips,4,6–8
7,1,Ring Fallout,3,8–12
7,1,Band ER / Face Pull,2,10–15
7,2,Leg Press,4,6–8
7,2,Bulgarian Split Squat,3,6–8/side
7,2,Standing Calf Raise,3,10–15
7,2,Farmer Carry,3,20–40m
7,2,Forearm,2,10–15
7,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
7,3,DB Overhead Press,3,6–8
7,3,Seated Row,3,8–10
7,3,Hammer Curl,3,8–12
7,3,Face Pull,2,12–15
7,4,DB Romanian Deadlift,4,6–8
7,4,Incline DB Press (30-45°),3,8–10
7,4,1-arm overheard tricep extension,3,8–12
7,4,Seated Calf Raise,3,12–20
7,4,Side Plank,2,20–30 sec/side
8,1,Incline DB Press (15-30°),4,5–8
8,1,Ring Push-ups / Dips,4,6–8
8,1,Ring Fallout,3,8–12
8,1,Band ER / Face Pull,2,10–15
8,2,Leg Press,4,6–8
8,2,Bulgarian Split Squat,3,6–8/side
8,2,Standing Calf Raise,3,10–15
8,2,Farmer Carry,3,20–40m
8,2,Forearm,2,10–15
8,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
8,3,DB Overhead Press,3,6–8
8,3,Seated Row,3,8–10
8,3,Hammer Curl,3,8–12
8,3,Face Pull,2,12–15
8,4,DB Romanian Deadlift,4,6–8
8,4,Incline DB Press (30-45°),3,8–10
8,4,1-arm overheard tricep extension,3,8–12
8,4,Seated Calf Raise,3,12–20
8,4,Side Plank,2,20–30 sec/side
9,1,Incline DB Press (15-30°),4,5–8
9,1,Ring Push-ups / Dips,4,6–8
9,1,Ring Fallout,3,8–12
9,1,Band ER / Face Pull,2,10–15
9,2,Leg Press,4,6–8
